Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,Battery_Cell,C70377
"C1, C109, C6",CP_Radial_D8.0mm_P3.50mm,3,56u,C106564
"C10, C100, C101, C110, C31, C41, C42, C43, C48, C53, C58, C63, C64, C65, C66, C69, C70, C71, C72, C73, C75, C81, C83, C85, C92, C94, C95",0603,27,100n,C14663
"C102, C103, C104, C105, C15, C36, C8, C88, C89, C96, C97, C98, C99",0603,13,10n,C57112
"C106, C7",1206,2,2.2u,C170101
"C107, C108, C12, C13, C24, C25, C87, C9, C90, C91, C93",1206,11,10u,C13585
"C11, C20, C21",0402,3,330p,C13533
"C111, C2, C3, C30, C5, C86",0603,6,1u,C15849
"C14, C67, C68, C74, C78, C82, C84",0603,7,4.7u,C19666
"C16, C17",0805,2,3.3n,C107149
"C18, C19",0603,2,680p,C1630
"C22, C23",0402,2,47p,C1567
"C26, C27, C28, C29, C32, C33, C34, C35, C37, C38, C39, C40",0603,12,1n,C1588
C4,0805,1,4.7u,C98192
"C44, C45, C46, C47, C49, C50, C51, C52, C54, C55, C56, C57, C59, C60, C61, C62",0402,16,100n,C1525
"C76, C77",0402,2,33p,C1562
"C79, C80",0603,2,2.2u,C23630
"D1, D17, D2, D3, D4, D6, D7",D_SMA,7,D_Schottky,C14996
"D10, D11",D_SOD-323,2,1N5819WS,C191023
"D12, D15, D21, D22, D23, D24",0603,6,GREEN,C72043
"D13, U30, U31, U32, U33, U35, U37, U55, U56, U57, U58, U71, U74, U77, U80, U83, U86, U89, U92",0603,19,RED,C2286
"D14, U72, U75, U78, U81, U84, U87, U90, U93",0603,9,BLUE,C72041
D16,0603,1,ORANGE,C72038
"D18, U13, U15, U17, U19, U21, U23",SOT-23-6,7,SRV05-4,C85364
"D19, D5",D_SMC,2,SM15T33CA,C406701
"D8, D9",SOT-323_SC-70,2,PESD1CAN-UX,C152727
"F3, F4, F5, F6, F7, F8",1206,6,Polyfuse,C207035
FB1,0805,1,Ferrite_Bead,C1015
J10,microSD_HC_Wuerth_693072010801,1,Micro_SD_Card,C164170
J14,USB_B_921-111A1010Y10200_Vertical,1,USB_B,C26234
J7,Jack_3.5mm_PJ-3250-5A,1,AudioJack3,C165947
L1,1210,1,2.2u,C36828
L2,MWSA0503,1,10u,C408412
Q2,SOT-23,1,2N7002,C8545
"R1, R100, R107, R109, R118, R146, R148, R155, R156, R158, R3, R57, R58, R59, R60, R69, R70, R71, R72, R81, R82, R83, R84, R93, R94, R95, R96, R99",0402,28,10k,C25744
"R10, R19, R20, R9",0402,4,33k,C25779
"R101, R102, R103, R104, R105",0402,5,330,C25104
"R106, R157",0603,2,82k,C23254
"R108, R11, R12, R153, R154, R17, R18",0402,7,100k,C25741
"R110, R111, R112, R113, R114, R115, R116, R121, R131, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48",0402,20,2k7,C138017
"R117, R119, R140, R141, R142, R143, R144, R145, R150, R151, R152",0402,11,0,C17168
"R120, R130, R137, R139, R147, R149, R25, R26, R31, R32, R33, R34, R35, R36, R37, R4, R97, R98",0402,18,1k,C11702
"R122, R123, R124, R125, R126, R127, R128, R129",2512,8,100,C2907569
"R13, R14, R61, R62, R63, R64, R73, R74, R75, R76, R85, R86, R87, R88",0402,14,470k,C25790
"R132, R133, R134, R135, R21, R22, R23, R24, R27, R28, R29, R30, R49, R50, R51, R52",0603,16,2.7k,C13167
"R15, R16, R5",0402,3,12k,C25752
R2,0402,1,1,C25086
"R53, R54, R55, R56, R65, R66, R67, R68, R77, R78, R79, R80, R89, R90, R91, R92",0402,16,5.6k,C25908
R6,0402,1,68k,C36871
"R7, R8",0603,2,120,C22787
"RN1, RN2, RN3, RN4",R_Array_Convex_4x0603,4,10k,C29718
"RN10, RN11, RN12, RN13, RN14, RN15, RN5, RN6, RN7, RN8, RN9",R_Array_Convex_4x0603,11,1k,C20197
"SW1, SW2",SW_SPST_EVQQ2,2,SW_Push,C318884
U1,Infineon_PG-DSO-8-43,1,TLS115,N/A
"U10, U14, U9",SOT-363_SC-70-6,3,SN74LVC2G17DC,C50714
"U11, U2, U38, U39, U40, U45, U46, U59, U63, U64, U65, U66",D_SOD-323,12,1N4148WS,C2128
U12,SOIC-18W_7.5x11.6mm_P1.27mm,1,TBD62083AFWG,
"U16, U18, U20, U22, U7",TSSOP-14_4.4x5mm_P0.65mm,5,MCP6004,C50282
U24,SOT-23,1,REF3033,C36658
U25,ST_HLGA-10_2.5x2.5mm_P0.6mm_LayoutBorder3x2y,1,LPS25HB,C94049
U26,LQFP-144_20x20mm_P0.5mm,1,STM32F427ZGTx,C117816
U27,SOT-23-6,1,USBLC6-2SC6,C7519
U29,SOT-23-5,1,MAX823,C239902
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,LMR14020,C187824
U36,Infineon_PG-DSO-12-9_ThermalVias,1,TLE9201SG,C112633
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,TJA1051T-3,C6952
"U41, U42, U43, U44",SOIC-8_3.9x4.9mm_P1.27mm,4,MIC4427,C20551
"U47, U48, U49, U50, U60, U61, U67, U68, U69, U70",TO-252-3_TabPin2,10,VND7NV04TR-E,C262999
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP6002-xSN,C7377
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
